,ID,Center x,Center y,HLR circ,HLR ellip,Flag,Total objects,C,A,S,SNR
0,z_5/flares_09/gal_208,150.21775406349005,153.29811164213723,2.352000673984592,2.563225603528278,0,1,2.5040452907376105,0.7674102262513779,0.20363864121644765,494.0839
1,z_5/flares_02/gal_033,31.64306005089474,101.0220615689833,0.11988079178211444,0.15705909794383457,2,12,1.8771889948680611,0.3275153963136843,0.0,1412.2986
2,z_5/flares_15/gal_032,150.76180783278545,149.74502837873717,3.917218470277487,4.990034700857554,0,1,2.6306555924902844,0.9064325908528686,0.37847435486482167,453.54407
3,z_5/flares_19/gal_026,151.2782513051365,150.77665934355275,2.053273667486717,2.346359745863061,0,2,2.8102293662235276,0.7686763704257156,0.24502521825476706,976.5624
4,z_5/flares_05/gal_050,150.67474058569627,150.69704461629084,3.8852655171503576,4.908695055960862,1,4,4.405076330709638,1.0485831708195528,0.5177439195987206,565.98395
5,z_5/flares_14/gal_133,149.20707072332948,149.81849736035147,3.0067300588839805,4.486636660420244,1,1,3.7413816553657586,0.9005760382852857,0.34901780789960757,320.8697
6,z_5/flares_05/gal_052,149.83749811496637,151.18476435982757,1.0349690879328333,4.034717774813797,1,1,1.4365875873120113,0.6807293302189611,0.2501812727260035,522.6754
7,z_5/flares_08/gal_135,150.28848494918498,150.27165568305378,1.6864428311381618,1.9239460175077396,0,1,3.4151227198816745,0.6782953598116991,0.2843076318899381,760.91895
8,z_5/flares_08/gal_083,150.21088936082378,151.28161555769998,2.05847360787073,2.236783731573604,0,2,2.924110359025632,0.8820078440746808,0.2568710119964821,1324.2682
9,z_5/flares_22/gal_017,150.12073941363218,150.203121007205,0.6906082504130997,0.803936866804285,0,1,2.0761691402640796,0.5095027653036613,0.0,3521.6753
10,z_5/flares_07/gal_152,150.21410977390008,150.69200016834398,2.075426911239887,2.2592009348531876,0,1,3.3586993910105933,0.9794095690794076,0.3515349620883174,678.93536
11,z_5/flares_07/gal_008,144.2597611513129,148.24999999915855,2.170957084072885,2.3544870591224782,0,1,1.8896457862386025,1.2038223493646116,0.3896163186685175,610.65643
12,z_5/flares_04/gal_001,194.3916043014893,22.36379089386824,0.33683721793193716,0.3733875884375332,0,18,1.5023676085610744,0.8875887860531474,0.0,1481.9893
13,z_5/flares_08/gal_052,148.80179390948146,151.74999989669533,2.410625720575736,2.768183233946615,1,1,2.587927992598838,1.427653940950009,0.4996239480804267,177.14638
14,z_5/flares_05/gal_007,149.66013323983734,149.2014889843377,1.1599006597059454,3.8503600650060577,1,1,2.4921819819272493,1.0523172188346528,0.3758524795714771,442.76834
15,z_5/flares_09/gal_074,149.74999979697597,149.2369107132692,3.066848955863945,3.341355686875232,1,1,2.4407290902215855,1.1442514511294675,0.43802291525461756,1100.4911
16,z_5/flares_14/gal_051,150.72570929010502,156.25756988723106,4.592022731781832,4.994939196985984,0,2,2.8727559692058184,1.0857925436491933,0.3862977448083609,466.30676
17,z_5/flares_14/gal_010,150.24999999369766,148.24852088610135,2.58824653187989,4.017702166509679,0,1,2.298080335793167,0.9371008643930766,0.28867964384862715,419.75943
18,z_5/flares_18/gal_040,150.67168056128412,151.23231027744603,1.6891240906510117,2.983111348462841,0,1,2.8847974476275207,0.7408275871198389,0.2544256485224272,765.1443
19,z_5/flares_04/gal_123,152.75818290859468,153.75852737103452,2.493991619609065,3.5612384091492664,0,3,2.1311930925553355,0.8308235955384758,0.29648153614273814,593.0466
20,z_5/flares_15/gal_212,176.23115775995328,137.74248059933933,6.071021605265824,6.773640359342962,0,1,1.12254103357568,1.387303909646043,0.37954748145743455,373.15405
21,z_5/flares_16/gal_045,147.78159367283052,146.26099214934374,2.8847495567676043,3.266696024870031,0,1,2.504448872061002,1.0009589190301451,0.3566384000588785,798.47076
22,z_5/flares_04/gal_162,150.22435246465088,149.78017678063688,2.812032393514683,3.30335090305543,0,1,3.3345598507849576,0.7665148890104867,0.27716517106047,689.5789
23,z_5/flares_10/gal_122,150.29421651397,152.26989300373924,1.6943886960146184,2.434519530184073,0,1,2.9080562775775087,0.7030078680422956,0.19920577450708285,657.6124
24,z_5/flares_06/gal_089,146.66113664325832,161.26653526711016,2.5373074115643592,3.026112034608422,0,1,2.083062813806377,1.0855222978520866,0.31599611130363986,886.4792
25,z_5/flares_06/gal_110,147.74999964227476,155.2500009427755,2.6023450810386985,3.1422137866616233,0,1,2.2186767641346945,0.8436156021379531,0.3382703761988291,844.0135
26,z_5/flares_16/gal_028,183.29084741149512,292.8998541153643,1.043627677590599,1.2789946710473614,2,6,1.9525085000604567,0.827243327152738,0.0,490.34537
27,z_5/flares_10/gal_072,96.50000008836648,267.95068944180184,0.10917925796597304,0.10973884393202252,2,4,1.8285323790663162,0.17568862411274544,0.0,572.0815
28,z_5/flares_22/gal_009,151.24610608443675,152.2500000016448,4.6201407746250425,5.226782025944326,0,4,2.602986795398881,1.1661165423104385,0.536814008401825,452.18616
29,z_5/flares_00/gal_108,138.74891366895196,136.25443055837107,4.543695344002227,5.426476410786738,0,1,1.6898953733766597,1.2597675424863444,0.48233590106135144,467.99875
30,z_5/flares_02/gal_058,146.75577579198887,145.2337105140731,3.8507374235280953,4.596626198409008,1,2,2.509722460080583,1.176313618867571,0.30509084865862346,602.8538
31,z_5/flares_06/gal_111,153.25000002063956,151.25814108108892,4.758643365316049,8.199001089291189,1,5,3.351614029713517,1.0353884316775017,0.4460980769575683,457.75385
32,z_5/flares_10/gal_048,276.9813389929147,186.28578626613978,0.10148540162895825,0.10304797358555332,2,5,1.9040969092940858,0.3649606990539226,0.0,1200.8147
33,z_5/flares_11/gal_160,151.19421424806526,150.6999630007692,1.5853968729192998,1.7103509556761631,0,1,2.6989619171500365,0.7266713768330756,0.165823009581714,906.9687
34,z_5/flares_16/gal_105,150.77777109767698,150.7566887707806,2.0115855806106033,2.0327539289693926,0,1,2.233812292089129,0.6738538687909641,0.21915912196804982,623.6563
35,z_5/flares_04/gal_198,150.72276024683822,151.2900821457968,1.9693741753846425,2.2517030686679087,0,1,2.314439092549771,0.6238574731474986,0.1648388165434232,831.8051
36,z_5/flares_15/gal_045,134.19757338076883,295.916928115725,0.10232177062936607,0.10569819160060655,2,4,1.9139791057776712,0.5291565010187524,0.0,542.8514
37,z_5/flares_00/gal_061,151.2313311102893,151.72966814771553,1.7572743985481918,2.050889000985804,0,1,3.31421867707478,0.930049306459642,0.39087658746770637,1131.1794
38,z_5/flares_03/gal_040,150.19279985657784,150.6888984021509,0.5475441088389947,1.0069950952237348,0,1,2.915396289558945,0.7642175386668222,0.32956579242180334,1030.968
39,z_5/flares_15/gal_116,148.25000004955328,151.7237448843324,2.7569399688315697,4.22943140882784,0,3,2.816065874247778,0.8207634298260844,0.18629283080548778,897.5019
40,z_5/flares_12/gal_059,136.2525258014486,151.24133142759632,4.752673454274396,5.153024914432687,0,4,2.4973709732171594,0.9864609887574831,0.37732697991155134,464.8429
41,z_5/flares_08/gal_215,150.7344756102068,149.24999986119724,2.6352806542586236,2.72046537136138,0,1,2.442198495478024,0.6760111073856055,0.2524618019590976,444.33575
42,z_5/flares_13/gal_138,148.76015570609007,150.22335308879858,2.7234151647749276,3.341061959702837,1,2,3.1127436928584986,1.0149379015034756,0.3604243172425254,496.90704
43,z_5/flares_11/gal_126,148.74335382708307,153.2500000290434,2.885794787198085,3.2841638228635106,0,1,2.278721282789177,0.6728475860767336,0.2282240387046143,714.15594
44,z_5/flares_03/gal_073,150.24388686633728,149.81000479427456,2.155581834945207,3.1846496736937464,0,2,2.492705877312545,0.7682699661803996,0.26625303983433585,753.43823
45,z_5/flares_15/gal_184,151.22505820676162,153.7249639118852,1.985516632279012,2.7584660775116,1,1,2.4961204083048276,0.845375393931383,0.31425287702681887,197.99962
46,z_5/flares_09/gal_089,153.22888273062247,150.22456246165328,2.8565111649222725,3.412212470333767,0,1,2.3560273170647053,0.8137490541945235,0.37485364679026484,582.27875
47,z_5/flares_15/gal_060,158.78113092699564,185.7499998981575,7.476991072449637,8.99724710774145,1,2,1.5086488968264253,1.520109275143934,0.525413587340939,353.72342
48,z_5/flares_14/gal_110,153.22555471022582,150.76398287122225,3.0436237348264625,3.6281276596820766,0,1,2.0900242747844504,0.944248176117248,0.3896561894102394,812.4413
49,z_5/flares_10/gal_047,150.75491320221627,150.28834581132534,0.8816174939957859,1.1527292847664994,0,1,2.4304824440382817,0.6825046823951516,0.19808474423810613,1814.7231
50,z_5/flares_11/gal_105,144.74174630575254,153.749999975066,4.190075898096343,5.306918019958538,1,2,2.7553541707313145,1.2166157417113406,0.5546725342249803,583.89294
51,z_5/flares_14/gal_114,170.3113496792036,141.3153210007083,4.575713826612862,5.790833142132788,0,3,2.965486795286729,0.9657752296713831,0.33196593219071363,526.72217
52,z_5/flares_08/gal_094,134.75044662506096,151.25000000383278,5.118150315248993,7.052698939266719,0,4,2.684363094445036,1.2703878252404357,0.4404975883474926,451.40714
53,z_5/flares_05/gal_160,127.77121658982121,152.22870107211799,6.769832562254369,8.391217747121843,0,1,2.273811289817229,0.9003024692677144,0.3204958732014527,500.36032
54,z_5/flares_13/gal_154,152.28110247222585,148.8089742700722,1.109914876062062,1.4408428216893931,0,1,2.405502658664336,0.8855377720895398,0.2638328625905491,847.5537
55,z_5/flares_14/gal_123,143.28824681767355,156.75000021292422,3.0148945913329688,4.665389089785318,0,4,1.956720680470597,0.9762310738519239,0.35841387847155454,605.38696
56,z_5/flares_13/gal_007,152.27970687607927,154.20582708849105,1.9921550190498312,2.364883117675811,0,1,2.431949067973839,0.7678840418727283,0.23542784769797268,574.10187
57,z_5/flares_06/gal_043,146.17297674655748,148.2005568560852,2.102480850197238,2.5371045685167584,0,1,1.8572957409277226,0.846131842825371,0.2516293515789236,626.6944
58,z_5/flares_14/gal_092,150.85050181637303,150.26853409315123,1.5621693657634037,1.9820667418518614,1,1,2.0788008682921517,0.30327975419494985,0.12153897213769556,1165.5259
59,z_5/flares_15/gal_104,150.7356519804544,151.22571438719118,1.849989601276445,2.661839150939793,0,2,2.554773068477644,0.8946684916553835,0.3050931986230384,901.14154
60,z_5/flares_08/gal_112,150.73302282986174,153.22315493127425,2.8693254064484384,3.6069764426551125,1,1,3.8754889756243047,1.0442303625430995,0.44445774290502377,736.1158
61,z_5/flares_14/gal_071,146.2918607128433,159.22778156097792,2.9859544566530825,3.657516859646298,0,1,2.452764410298264,0.9449125665991412,0.43690005202936244,1198.8738
62,z_5/flares_00/gal_041,149.29039933534256,151.23229317970663,1.515593239941701,1.638496367308561,0,1,3.5875353398580283,1.088422285046963,0.3812091064562375,795.0207
63,z_5/flares_07/gal_052,151.75000041469434,146.73714558843955,4.125334270995341,4.421737480101895,1,2,3.3494717297906345,1.339209649015115,0.5827246352043454,404.26425
64,z_5/flares_18/gal_026,151.73631462434753,151.2203069456278,4.860281594415583,5.450280089792085,1,5,3.1225538173207457,1.0941091560790939,0.31737462737597283,312.8137
