,ID,Center x,Center y,HLR circ,HLR ellip,Flag,Total objects,C,A,S,SNR
0,z_5/flares_02/gal_009,150.23021929592898,150.75238254817933,1.267491505413667,1.3545174005581775,0,1,2.148928943724289,0.678612608556798,0.2487192130665966,11.805733
1,z_5/flares_02/gal_118,150.27571523262748,148.77749751536328,3.0930408294674328,4.089846666772147,0,2,3.371276161322273,0.6626435183715702,0.23447189392647896,9.963106
2,z_5/flares_02/gal_035,149.74383255573753,151.24451476876962,3.110108006319745,3.6452282970233685,0,2,2.96437402090442,0.5835174719668045,0.2039226592976849,12.715364
3,z_5/flares_02/gal_124,153.25000000128045,168.7555075404212,4.838288381040325,5.953326156338386,1,4,1.8147293912330125,1.1212210402974514,0.28846509433310613,5.641039
4,z_5/flares_02/gal_144,174.80503403490016,252.79870518553045,0.4994427854597571,0.6019756010204148,1,3,2.3768292119607146,0.34857604414846954,0.0,5.373283
5,z_5/flares_02/gal_061,149.74399362772408,154.7574629699322,2.0155194555491533,2.199246239056319,0,1,1.6405532140114585,0.6270385316645345,0.1858066132473647,16.968246
6,z_5/flares_02/gal_088,193.9014765611601,235.45217579825345,0.1023964831922483,0.1260153305446052,2,14,1.6644960150984582,-0.07404001650302598,0.0,10.154868
7,z_5/flares_02/gal_081,149.7950507614964,150.25486891414624,2.6424514386154736,3.559015280317738,0,1,2.950475425773935,0.5599660832795741,0.17534345922384564,12.391471
8,z_5/flares_02/gal_150,150.7357747824894,150.75491484122847,1.41613442559328,1.7883842306043232,0,3,2.1482989390012546,0.5089692533432408,0.15000147662474364,16.767893
9,z_5/flares_02/gal_177,150.28884031914154,150.2699960530497,1.2166138514363407,1.31430950636364,0,1,2.4236598027016774,0.5162924041343718,0.16444241215977745,17.25205
10,z_5/flares_02/gal_170,149.71875559005835,152.75278760312727,1.7818131283258816,2.063975743772215,0,2,2.338788667147874,0.5524261596374045,0.21546212911905424,13.970981
11,z_5/flares_02/gal_010,150.695919717772,150.26818349068964,0.5093613977252995,0.6422335440363848,0,1,1.6256736385489292,0.5651625137543463,0.0,20.726725
12,z_5/flares_02/gal_037,151.74144608959438,150.77746561583854,2.2394488216893107,2.471525680654497,0,2,3.1209219059261537,0.5622490383040922,0.3059778801145068,10.583484
13,z_5/flares_02/gal_030,114.89848467341281,211.49999994594629,0.14418894054905051,0.24737794598907076,1,6,1.8785602427506165,-0.06314037071393633,0.0,5.6162186
14,z_5/flares_02/gal_126,151.75250743604863,151.26451570026495,3.150339936814442,3.6309141520708335,0,2,2.792461657836412,0.3327405319910016,0.18004072900159462,3.6833203
15,z_5/flares_02/gal_146,149.2694036560239,150.23872043041354,2.4824342763365586,4.714931348085246,0,2,3.0860805880056925,0.5854212600408835,0.1711265084414402,5.5119076
16,z_5/flares_02/gal_063,151.24315204571195,151.21298621321583,1.914572713127382,2.4176819621294894,0,2,3.1385199905704413,0.5170599977544115,0.15953210551372182,11.953368
