,ID,SN
122,z_5_flares_03_gal_148_alma.fits,7.0
123,z_5_flares_16_gal_056_alma.fits,5.74
124,z_5_flares_10_gal_133_alma.fits,7.77
125,z_5_flares_13_gal_151_alma.fits,15.07
126,z_5_flares_10_gal_009_alma.fits,6.21
127,z_8_flares_08_gal_021_alma.fits,11.74
128,z_7_flares_03_gal_009_alma.fits,3.46
129,z_6_flares_08_gal_103_alma.fits,5.25
130,z_5_flares_00_gal_102_alma.fits,7.62
131,z_6_flares_10_gal_016_alma.fits,3.57
132,z_6_flares_09_gal_024_alma.fits,6.4
133,z_6_flares_06_gal_057_alma.fits,4.15
134,z_6_flares_07_gal_073_alma.fits,3.16
135,z_5_flares_14_gal_078_alma.fits,4.92
136,z_5_flares_15_gal_087_alma.fits,7.17
137,z_5_flares_33_gal_007_alma.fits,15.93
138,z_5_flares_05_gal_141_alma.fits,12.73
139,z_5_flares_03_gal_137_alma.fits,15.36
140,z_7_flares_21_gal_000_alma.fits,7.19
141,z_5_flares_17_gal_031_alma.fits,11.96
142,z_5_flares_10_gal_018_alma.fits,6.39
143,z_5_flares_01_gal_031_alma.fits,14.36
144,z_5_flares_09_gal_061_alma.fits,6.2
145,z_5_flares_15_gal_126_alma.fits,5.33
146,z_5_flares_01_gal_190_alma.fits,3.57
147,z_5_flares_07_gal_171_alma.fits,4.48
148,z_6_flares_18_gal_027_alma.fits,4.3
149,z_5_flares_16_gal_097_alma.fits,3.73
150,z_8_flares_13_gal_008_alma.fits,3.67
151,z_5_flares_10_gal_168_alma.fits,9.97
152,z_5_flares_11_gal_072_alma.fits,8.1
153,z_7_flares_08_gal_000_alma.fits,3.3
154,z_5_flares_09_gal_014_alma.fits,3.68
155,z_5_flares_14_gal_095_alma.fits,6.95
156,z_5_flares_13_gal_091_alma.fits,5.36
157,z_7_flares_14_gal_003_alma.fits,7.86
158,z_5_flares_06_gal_064_alma.fits,11.44
159,z_5_flares_19_gal_049_alma.fits,7.97
160,z_5_flares_09_gal_135_alma.fits,6.27
161,z_6_flares_01_gal_077_alma.fits,3.63
162,z_7_flares_20_gal_003_alma.fits,4.74
163,z_5_flares_09_gal_150_alma.fits,7.21
164,z_5_flares_10_gal_109_alma.fits,6.52
165,z_5_flares_16_gal_063_alma.fits,8.84
166,z_5_flares_04_gal_149_alma.fits,5.43
167,z_5_flares_12_gal_079_alma.fits,10.67
168,z_5_flares_01_gal_006_alma.fits,6.44
169,z_5_flares_11_gal_182_alma.fits,4.08
170,z_6_flares_09_gal_087_alma.fits,8.34
171,z_5_flares_03_gal_042_alma.fits,12.88
172,z_5_flares_15_gal_028_alma.fits,4.21
173,z_5_flares_09_gal_005_alma.fits,12.95
174,z_7_flares_04_gal_031_alma.fits,3.16
175,z_5_flares_05_gal_109_alma.fits,11.41
176,z_6_flares_15_gal_053_alma.fits,2.95
177,z_5_flares_10_gal_004_alma.fits,6.55
178,z_8_flares_08_gal_022_alma.fits,3.54
179,z_5_flares_15_gal_172_alma.fits,6.3
180,z_6_flares_01_gal_043_alma.fits,6.83
181,z_5_flares_03_gal_152_alma.fits,3.19
182,z_5_flares_02_gal_053_alma.fits,3.85
