,ID,Center x,Center y,HLR circ,HLR ellip,Flag,Total objects,C,A,S,SNR
5625,z_7/flares_02/gal_018,183.72971332306707,182.78407378651923,1.684886135636059,2.0277407799131364,0,3,2.9296169095906683,0.29335508164012575,0.02583207006018153,15.591143552574026
5626,z_7/flares_02/gal_011,180.70201397016984,181.82467434588065,1.3578225668611563,1.4349716438707425,0,1,3.416062516630391,0.10208767275321233,-0.008037281069392109,9.993775211720562
5627,z_7/flares_02/gal_013,180.7177465977354,181.7789844031127,2.5867405758593462,3.077725998211211,0,3,3.661638064690262,0.24743109990533824,0.02856531167343164,8.177395561563621
5628,z_7/flares_02/gal_015,181.26335671188644,180.27470860344786,2.1280110355233774,3.346210850025094,0,2,3.389681201905005,0.2385663516498209,-0.0005941671921345115,6.279343194575933
5629,z_7/flares_02/gal_021,181.27542140941537,181.61442282928272,0.9826742943118003,1.1213570047996335,0,2,2.982758387376844,0.06254532972469229,-0.004571648674134669,15.514731587923253
5630,z_7/flares_02/gal_017,181.24224480878368,180.31357997929027,1.6898592696112156,1.9653161027695731,0,4,3.0609104639141806,0.19313166116831954,-8.789232823029518e-05,11.244289147915698
5631,z_7/flares_02/gal_023,181.309255450558,181.20616978506004,2.107361619588578,2.553023839298961,0,1,3.4258345580403877,0.40929727290394713,0.013256899025474054,9.38626949380698
5632,z_7/flares_02/gal_019,181.2975358182842,178.2655042965946,2.26479934529402,3.221411368706773,0,3,3.8398987588276423,0.21510090431195802,0.010159036960129654,8.423174517192686
5633,z_7/flares_02/gal_025,181.26146227488417,182.7787569977304,1.606662754068511,2.0615010122377653,0,1,3.2363510240248603,0.3030423515202506,0.0028613595892765216,15.118345490148304
5634,z_7/flares_02/gal_000,183.2500000078462,182.25892575372967,4.947290111480863,6.241304716696672,0,5,3.085339090225787,0.40839596437847264,0.08349729246828178,7.343884154017749
5635,z_7/flares_02/gal_027,181.15751651623376,180.89134708261784,0.9374442412287339,0.939800651686945,0,1,2.7626398335355002,0.06582747592093326,-0.0026979375916319913,20.39904455581259
5636,z_7/flares_02/gal_020,181.3347918111895,180.77357938793523,2.0167435221080425,2.6723571173079,0,1,4.176942263214777,0.20997859320986978,0.030233841516402026,6.3908619695937805
5637,z_7/flares_02/gal_002,186.271338225839,162.73395918696872,3.614714375923407,3.7948427425001605,0,3,2.6110152878071045,0.3733042148702692,0.06461144261454124,7.524234969869025
5638,z_7/flares_02/gal_029,182.80900873100194,181.19774220392964,1.4874791362240902,1.6139824726745469,0,2,2.4682172534391853,0.2650189107620411,0.032113865040053,25.940715000216095
5639,z_7/flares_02/gal_022,180.9109298500399,180.80988663828288,1.2029835008681795,1.4929186784850816,0,2,3.66256203840737,0.28707979513670245,0.0006905723793564003,8.509418941154454
5640,z_7/flares_02/gal_004,181.2551615923505,180.24373823116508,1.9965391331869595,2.295438305949867,0,1,3.0402670495121837,0.29080220354961,0.0158992872490054,15.379760254807836
5641,z_7/flares_02/gal_024,181.2401260376103,180.2870067197272,2.027263113355039,2.2615702598675655,0,3,3.2068728354302434,0.3443546541051293,-0.004375784892107952,10.24753588798985
5642,z_7/flares_02/gal_006,181.19378635725883,181.26528022798493,1.1124764719612112,1.1511393377175172,0,7,2.4647306460486367,0.15348613252218057,0.0012942039082413724,18.269621111347757
5643,z_7/flares_02/gal_026,181.25934334346113,181.68553013676336,1.1874722760427665,1.3155483529144323,0,1,2.647686948169128,0.12278977601729418,-0.00023728809728632694,20.165856274028236
5644,z_7/flares_02/gal_008,181.18105638118703,181.05964365503007,0.7442790073804928,0.7983659670200903,0,1,2.4882386763110054,0.07305140134559183,0.06374467906739822,24.335885634501558
5645,z_7/flares_02/gal_001,182.7559357907021,181.76718935924825,1.9537298370678993,2.137934220078044,0,1,3.330440753156983,0.3264014421892522,0.020655463447509043,12.950371189575465
5646,z_7/flares_02/gal_028,179.2499996543953,194.25000034080884,2.9651753719946905,3.4113935626248013,0,2,1.6678525801469224,0.6272992693286874,0.0652739458300807,6.882327142395121
5647,z_7/flares_02/gal_003,180.7626875331409,180.92423267140282,1.428818001205864,1.5344179075800095,0,2,2.753025791318888,0.0704740275225466,0.02530747506504,20.498536157407834
5648,z_7/flares_02/gal_005,180.74016165228042,181.25140475294467,4.1423662134412265,5.645399146080656,1,5,5.043225364525598,-0.05811581719271295,0.03528854940298702,1.7628839024712348
5649,z_7/flares_02/gal_031,185.21661412173904,180.28800351015576,1.8663573244631073,2.1761699369440954,0,1,3.0687409665300636,0.21015513719713386,0.01966442143551836,15.15460039515565
5650,z_7/flares_02/gal_007,180.27035680304638,179.7422194524159,3.3829535512749733,3.713437609368231,0,7,3.5369153556503345,0.2854873977705297,0.0645629930938063,6.266518082517706
5651,z_7/flares_02/gal_033,181.6894896363486,181.82008632437078,1.221307105647219,1.3517674769759733,0,1,2.4585505844809328,0.1511308673654773,-0.0007544176355943491,24.95428648620063
5652,z_7/flares_07/gal_009,180.77440163199503,180.30512668082284,1.6053200327166077,1.780586151201216,0,2,3.8686548353815713,0.235236751994182,0.008687192402907901,5.668651881480115
5653,z_7/flares_07/gal_035,181.3664014924559,181.16987352983466,1.4746687034123942,1.7703916120458594,0,1,3.3211701692410562,0.10369638971728236,0.015002580618912088,8.504374583555348
5654,z_7/flares_07/gal_010,181.7674311377193,181.24210544572782,3.5294772342049305,5.006108596934228,0,2,3.8233046171350615,0.2922448330257038,0.03219085166048007,4.259719306260676
5655,z_7/flares_07/gal_037,181.66455036675373,180.32060240200238,2.3534522845666848,2.5840314020363375,0,1,3.463283852455297,0.34724351418398824,0.012620345483337915,9.911932299867596
5656,z_7/flares_07/gal_030,181.71802096038178,181.39230533225165,1.2647723916393578,1.2748029844040123,0,1,3.2894414340901035,0.10422143784005072,-0.002787978348417759,10.040908863376924
5657,z_7/flares_07/gal_012,180.82994828181043,180.91121216690735,1.2255124335897205,1.4243584505817015,0,1,3.3825133192869625,0.16990558291486585,0.011687667870694484,9.837617290143449
5658,z_7/flares_07/gal_039,181.79110749306847,180.7677364604289,1.3278463463065062,1.4167714006557066,0,3,3.235250869968339,0.19647091726775043,0.0006283498626293581,6.359780109622892
5659,z_7/flares_07/gal_032,173.74408081193434,190.7056696282949,2.577251136726353,3.22944511922458,0,1,2.306741841975379,0.15176848572352744,0.03560827858983209,17.748529485991536
