,ID,Center x,Center y,HLR circ,HLR ellip,Flag,Total objects,C,A,S,SNR
0,z_5/flares_02/gal_009,149.76330588164396,151.70574255348006,1.4062662549038127,1.5616323671896686,0,1,2.2030655571828293,-0.08818689016708721,6.210976126342048e-05,2.8294264047823883
1,z_5/flares_02/gal_118,150.76211292941593,148.25826679480676,3.6177627794568266,5.439139693276813,0,1,3.2052317028657162,-0.11978972073811192,-0.00771609180082238,1.9378817876692436
2,z_5/flares_02/gal_035,152.25936013369304,151.75756739008972,3.4906984850813156,4.933368742827235,0,1,2.8021327462479055,-0.043843796375875405,0.018135618302966384,2.9954491316106187
3,z_5/flares_02/gal_124,152.26610519024467,148.27043010253254,1.949732096249539,2.023864382489159,0,2,2.3848695221172265,-0.04674276031659194,0.010523043226866969,2.4803527167426633
4,z_5/flares_02/gal_144,152.23600348041677,154.25000000197994,2.8531255393202044,4.210255090753207,1,2,3.1921096377767006,-0.11328289218631411,-0.6322821425989538,1.550007990014859
5,z_5/flares_02/gal_061,149.73747034024728,156.22150457836045,2.0660360559005615,2.2504892961184604,0,1,1.948066302643281,-0.04536891040653418,-0.010110557890447628,2.8871507680023374
6,z_5/flares_02/gal_088,155.7574826362917,150.24719812079013,3.304319418919752,3.776272270486105,1,1,2.40871392372735,-0.038927439859624824,0.03889403375618048,2.337823933193358
7,z_5/flares_02/gal_081,149.23912596781238,152.2288589633723,2.2314722039787678,2.5968834855387057,1,1,3.100977223268254,-0.07698530565593575,-0.016625848618178733,1.8866093825215096
8,z_5/flares_02/gal_150,150.25532695771352,150.28540182433062,1.571345310232952,1.7133892040136804,0,1,2.3936100115618033,-0.06422502611825116,0.020192542249160183,2.8189548753656135
9,z_5/flares_02/gal_177,151.2225781750579,150.2066664539892,1.3245045162620805,1.521899322759736,0,1,2.464243840835699,-0.15006151115200736,-0.041860283731656886,2.54887138208201
10,z_5/flares_02/gal_170,150.26546722123868,151.73809352983068,1.98824651100118,2.4332759029899456,0,1,2.5441689482968686,-0.08505644653975768,-0.009869783893325643,2.367120683643428
