,ID,Center x,Center y,HLR circ,HLR ellip,Flag,Total objects,C,A,S,Sersic Flag,sersic_amplitude,sersic_rhalf,sersic_n,sersic_xc,sersic_yc,sersic_ellip,sersic_theta,sersic_chi2_dof
0,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_6_flares_22_gal_003_alma.fits,199.73483324783007,199.66416065806135,0.2802314077332693,0.3367752168138662,0,1,2.2521635357736436,0.096265441875032,0.0,0,149729.47204843396,2.263972427414203,0.6185990641379457,199.73034778663128,199.674057141103,0.30316974135313474,3.023527042694404,32650606.780712385
1,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_6_flares_16_gal_055_alma.fits,199.3034898714026,199.44004791528587,0.23734310856067486,0.26105597963716415,0,1,2.1526487847788145,0.07210024999169798,0.0,0,135843.7858753244,1.7041374591354101,0.5308021773204613,199.32113119464637,199.43106149619908,0.16784332105664557,2.9958025210259507,3773156.4953174335
2,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_6_flares_03_gal_038_alma.fits,199.59752011159443,199.730825257451,0.2683638258563034,0.32835706591761626,0,1,2.2046355583741746,0.09926533191836495,0.0,0,330054.7725440977,2.201483209472953,0.5258228338626626,199.60830680641126,199.7425655433854,0.3566262134224115,1.9580706449461485,33397781.282757338
3,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_6_flares_15_gal_096_alma.fits,199.57485456926213,199.53659548178547,0.288876727684409,0.3501801039490002,0,1,2.2413337374618196,0.07890499039968316,0.0,0,73701.3878926521,2.3575020609009942,0.5847370407723151,199.572143443087,199.5417433570284,0.31697522725869204,2.302096722756703,12649361.88728864
4,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_5_flares_02_gal_050_alma.fits,199.4538757988985,199.39791739127247,0.3117653349203285,0.4330292831275465,0,1,2.27024581276746,0.1979406857479473,0.0,0,127598.70265280195,2.6086627759877703,0.7548795391528533,199.51242656049553,199.5815016746442,0.32114238164219333,1.2251530954506802,399631944.14327496
5,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_6_flares_22_gal_002_alma.fits,199.45820568693907,199.38114187981745,0.2776524099287409,0.34638140904455317,0,1,2.1887460352989008,0.08138551424704228,0.0,0,300650.2055257495,2.3687088592204937,0.46252929493979195,199.434736292803,199.36074338347288,0.4258962886483746,0.6667474510236678,72937280.74668717
6,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_5_flares_06_gal_146_alma.fits,199.36217689365236,199.3027615013892,0.2770162437739385,0.3187602898785551,0,1,2.2016089053866414,0.11096042537456292,0.0,0,87787.80197748238,2.1597173970286714,0.5806512598244019,199.33545621539153,199.29986068265194,0.25634485666997586,2.664715867033963,19695634.899741724
7,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_5_flares_08_gal_072_alma.fits,199.52758482994707,199.56844085308268,0.35626486811258845,0.3770404847555121,0,1,1.9596240085750178,0.03803179459923523,0.0,0,661185.4618111872,2.5635247251657756,0.4083363881776659,199.5346992776388,199.55280481836675,0.12445526939826167,2.7295163886265303,94647247.30620074
8,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_5_flares_08_gal_152_alma.fits,199.69293506205122,199.26893871783426,0.33729026537941953,0.4112092962332781,0,1,2.24845856703871,0.10537724933853874,0.0,0,80635.03016135542,2.804704006203418,0.6192907364010481,199.67767641393644,199.2583089115883,0.32598209119218885,0.14204495604692227,42700329.24861609
9,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_5_flares_02_gal_074_alma.fits,199.51493247315415,199.5897325970151,0.2904042236576374,0.3287772660747412,0,1,2.2304682364161943,0.07667289204000176,0.0,0,475534.5538073268,2.2116808320880654,0.6039581351309113,199.5047877023361,199.59314069674855,0.2124706697701111,0.12961104541557586,130765851.41969658
10,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_6_flares_10_gal_055_alma.fits,199.5697283542572,199.71463845151433,0.32893888118927933,0.40774926096877623,0,1,2.2696799429773624,0.11874568070638428,0.0,0,120008.95731424358,2.7308784433003837,0.6646903224801249,199.60935532321187,199.74462640448476,0.31377176884183927,0.5943844805168086,85172330.09309238
11,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_6_flares_10_gal_026_alma.fits,199.56581546135232,199.5000004425765,0.2784991008717194,0.2870720439246843,0,1,2.2077593270858236,0.08123663138217127,0.0,0,200219.09636910533,1.9416134874688784,0.5734019056821705,199.56189848789745,199.48485366377088,0.05872941830810279,2.8920571222417846,35695780.758933246
12,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_5_flares_37_gal_005_alma.fits,199.44231550990594,199.31930034584025,0.33094479189691767,0.4913003372388711,0,1,2.4015804776722747,0.15443871270953197,0.0,0,166530.3402939302,3.2289149960399404,0.7170233788249649,199.55882063787237,199.25699615471498,0.5263168980753589,2.641940832662559,294770750.21766657
13,/home/projects/dtu_00026/people/paupun/cleanedalmaimages/z_5_flares_01_gal_183_alma.fits,199.66712366832536,199.41369313552082,0.2689398200065071,0.28595343044267924,0,1,2.216369803164005,0.08495400088554306,0.0,0,253829.50488950778,1.9283597432865291,0.585812423392476,199.67778972460525,199.40489788527955,0.12764555335360483,0.25363710084344,26758744.49157552
