,ID,Redshift,Lum 156um,HLR 156um
0,z_5/flares_36/gal_013,5,3.154264794531938e+31,1.511309541788341
1,z_5/flares_36/gal_005,5,1.5175542752331692e+32,1.3955693960359605
2,z_5/flares_36/gal_004,5,4.180072732973213e+31,2.0734061922679237
3,z_5/flares_36/gal_014,5,8.390004028471237e+30,19.5212954058424
4,z_5/flares_36/gal_011,5,6.061633562647705e+31,1.4311453772856741
5,z_5/flares_36/gal_001,5,3.067681186347086e+31,1.6682448702081116
6,z_5/flares_36/gal_009,5,1.0335430767585277e+31,11.111954148298388
7,z_5/flares_36/gal_016,5,1.9980388120771122e+31,2.2907543273226336
8,z_5/flares_36/gal_015,5,5.706665963498777e+30,12.638875477927234
9,z_5/flares_36/gal_008,5,5.059643231985334e+31,0.8985795026564678
10,z_5/flares_36/gal_006,5,4.914768762953618e+31,2.1672984135710127
11,z_5/flares_36/gal_002,5,7.169270020670629e+31,0.983094008892046
12,z_5/flares_36/gal_003,5,7.312517105969495e+31,2.4759706013036147
13,z_5/flares_36/gal_007,5,8.288889584188715e+30,11.23238017852808
14,z_5/flares_36/gal_010,5,2.9401408018566094e+31,1.1690637364171528
15,z_5/flares_36/gal_012,5,4.070619742011477e+31,2.0536049511880043
16,z_5/flares_36/gal_000,5,3.0947689429602798e+32,2.237652976777624
17,z_5/flares_23/gal_013,5,1.320835802644698e+31,7.056556393752932
18,z_5/flares_23/gal_005,5,9.4787321578814e+30,4.1558577543277195
19,z_5/flares_23/gal_004,5,9.34787504614495e+31,1.511562988126819
20,z_5/flares_23/gal_024,5,3.169411460858501e+31,1.873629584867262
21,z_5/flares_23/gal_014,5,7.7634852559180275e+31,1.4792211892023572
22,z_5/flares_23/gal_022,5,7.748780544312064e+30,10.514433891934909
23,z_5/flares_23/gal_029,5,7.314809550839356e+30,6.2554828386091454
24,z_5/flares_23/gal_017,5,3.6487557305228165e+31,1.5202916644448545
25,z_5/flares_23/gal_011,5,4.25831694022425e+31,1.2997986816346951
26,z_5/flares_23/gal_018,5,1.3332426004763376e+31,1.3202226797456285
27,z_5/flares_23/gal_001,5,1.2762312180056197e+32,1.5894113822893023
28,z_5/flares_23/gal_009,5,3.871069073234179e+31,2.8838543753945367
29,z_5/flares_23/gal_025,5,4.845445455162447e+31,1.2537129886357334
30,z_5/flares_23/gal_016,5,1.1119449209035757e+31,6.094076774944511
31,z_5/flares_23/gal_015,5,8.507483393483732e+30,8.61269754808345
32,z_5/flares_23/gal_008,5,2.341763304378809e+31,2.1107258492564225
33,z_5/flares_23/gal_006,5,1.0393360314628188e+31,11.062186109429964
34,z_5/flares_23/gal_002,5,4.560149034464779e+31,2.1148398923442366
35,z_5/flares_23/gal_026,5,2.1183750868401613e+31,1.2612592391167325
36,z_5/flares_23/gal_019,5,3.7180316893981526e+31,1.4661372570557396
37,z_5/flares_23/gal_003,5,1.9410687472933053e+31,1.1289232784261776
38,z_5/flares_23/gal_021,5,2.86365564122641e+31,2.6363543282844457
39,z_5/flares_23/gal_007,5,7.321408071821644e+31,2.8740702250154486
40,z_5/flares_23/gal_010,5,2.4320694693712976e+31,4.755134740473495
41,z_5/flares_23/gal_012,5,3.3895616000035178e+31,0.9553759240234304
42,z_5/flares_23/gal_000,5,3.51575764617909e+32,1.566983513712602
43,z_5/flares_23/gal_023,5,1.5915171486479465e+31,4.600229838594904
44,z_5/flares_23/gal_020,5,1.0924242718040477e+31,1.6816237049170626
45,z_5/flares_23/gal_028,5,1.0077941701735236e+31,7.162768180101108
46,z_5/flares_23/gal_027,5,1.1177359068740454e+31,3.111090291364097
47,z_5/flares_17/gal_056,5,1.4784614645244136e+31,14.58715305763624
48,z_5/flares_17/gal_094,5,8.047835237891158e+31,2.277816082059805
49,z_5/flares_17/gal_039,5,3.2653084279035557e+31,8.27249539971986
50,z_5/flares_17/gal_049,5,1.5061657429059382e+32,2.39355056421236
51,z_5/flares_17/gal_042,5,1.499094046231256e+31,1.7570997192231004
52,z_5/flares_17/gal_013,5,2.2700470966407982e+32,1.4172478090438323
53,z_5/flares_17/gal_037,5,1.3172153627622803e+32,1.2428199583342427
54,z_5/flares_17/gal_083,5,6.66683051360178e+30,6.599181893149151
55,z_5/flares_17/gal_061,5,7.98303719310771e+31,2.8050935165257314
56,z_5/flares_17/gal_055,5,1.6915074453198404e+32,2.7035750819029563
57,z_5/flares_17/gal_005,5,1.2488389124479036e+32,1.2522513483173212
58,z_5/flares_17/gal_069,5,2.7322215738276743e+31,7.810237008785094
59,z_5/flares_17/gal_117,5,4.173792348847943e+31,1.5395442914822866
60,z_5/flares_17/gal_108,5,1.3535251220470088e+31,2.619484022781847
61,z_5/flares_17/gal_053,5,1.7869965596316153e+32,1.6380711181308345
62,z_5/flares_17/gal_004,5,9.349858007972275e+31,4.565246724245338
63,z_5/flares_17/gal_103,5,9.939135620507955e+30,7.146744431571804
64,z_5/flares_17/gal_092,5,4.30195854901397e+31,1.7671753905670857
65,z_5/flares_17/gal_024,5,7.272217325632425e+31,1.2826464999253793
66,z_5/flares_17/gal_048,5,1.724760034364267e+31,2.6947898749940915
67,z_5/flares_17/gal_106,5,2.985109552600721e+31,2.0729654902906987
68,z_5/flares_17/gal_097,5,6.22071981325441e+30,40.0032524760055
69,z_5/flares_17/gal_079,5,9.04074841109101e+31,2.6711847686377532
70,z_5/flares_17/gal_014,5,9.176316334959947e+31,1.700996954125606
71,z_5/flares_17/gal_022,5,1.729908608909051e+32,2.507193448203636
72,z_5/flares_17/gal_029,5,2.9683042325156795e+32,3.5491106782369197
73,z_5/flares_17/gal_017,5,3.1958560020416775e+32,2.4900996099052697
74,z_5/flares_17/gal_098,5,5.379151088679539e+31,1.7454948875534493
75,z_5/flares_17/gal_058,5,3.8669941112777353e+31,1.7820516806157276
76,z_5/flares_17/gal_123,5,1.2734816607799208e+31,2.249507741031514
77,z_5/flares_17/gal_105,5,7.305140421258641e+30,21.804363297188125
78,z_5/flares_17/gal_038,5,1.0913887216422211e+32,2.6276828959801195
79,z_5/flares_17/gal_011,5,1.2689679493522933e+31,10.510052917881088
80,z_5/flares_17/gal_068,5,1.4116285900627455e+31,6.369859580792653
81,z_5/flares_17/gal_082,5,4.6417047584872865e+31,2.2546011076663257
82,z_5/flares_17/gal_018,5,9.853652691860855e+31,2.2975765970978292
83,z_5/flares_17/gal_073,5,7.621966435359859e+30,8.043610102891535
84,z_5/flares_17/gal_001,5,8.79309521239866e+31,2.1046334098373802
85,z_5/flares_17/gal_034,5,6.908988304398415e+31,1.1662460910153405
86,z_5/flares_17/gal_009,5,4.042579575266569e+32,2.240073785901072
87,z_5/flares_17/gal_087,5,1.7251958047122562e+31,1.6008824904505154
88,z_5/flares_17/gal_025,5,9.963423173604705e+31,2.6409521974723433
89,z_5/flares_17/gal_078,5,1.1332197168636122e+31,8.621731255292353
90,z_5/flares_17/gal_043,5,9.021303411979449e+31,1.9714326398266477
91,z_5/flares_17/gal_067,5,7.17100871832468e+31,1.8037975369593795
92,z_5/flares_17/gal_016,5,5.0608092320893275e+31,1.604161916894167
93,z_5/flares_17/gal_115,5,6.568761057458207e+30,12.901595553864908
94,z_5/flares_17/gal_100,5,5.665857665975318e+31,1.5773229721595494
95,z_5/flares_17/gal_124,5,3.466223727730097e+31,2.125437147449982
96,z_5/flares_17/gal_071,5,1.0493263699867505e+32,1.564597842065619
97,z_5/flares_17/gal_127,5,1.0648988421522555e+31,1.8855537564384783
98,z_5/flares_17/gal_110,5,7.086875419824571e+31,0.8367653971848286
99,z_5/flares_17/gal_096,5,6.050437378785442e+30,19.05488405631718
100,z_5/flares_17/gal_057,5,2.599817587667172e+31,1.818745826943759
101,z_5/flares_17/gal_015,5,5.312669627522045e+31,2.6930942272911578
102,z_5/flares_17/gal_114,5,1.1196109677306968e+31,6.42605446383433
103,z_5/flares_17/gal_107,5,2.0609595557989794e+31,1.2866617195552728
104,z_5/flares_17/gal_129,5,1.930536535812188e+31,4.803981740906088
105,z_5/flares_17/gal_008,5,2.1533463906809688e+32,1.4164616962199692
106,z_5/flares_17/gal_116,5,7.391895756154494e+30,7.529162937369344
107,z_5/flares_17/gal_065,5,5.0866594154628805e+31,1.4802414469479168
108,z_5/flares_17/gal_089,5,1.0922932409926791e+31,16.02312030443771
109,z_5/flares_17/gal_047,5,5.863035043179288e+31,1.7506562360374691
110,z_5/flares_17/gal_081,5,9.325051410257414e+31,2.5237575137502235
111,z_5/flares_17/gal_128,5,4.669677192652955e+30,9.811814040024279
112,z_5/flares_17/gal_041,5,2.8882681987171834e+31,1.3705110133322793
113,z_5/flares_17/gal_125,5,1.0530291383574078e+31,6.423783514240175
114,z_5/flares_17/gal_072,5,9.144289787914458e+30,11.448104072467638
115,z_5/flares_17/gal_006,5,2.3220804252712347e+32,2.012574844050466
116,z_5/flares_17/gal_076,5,5.81430023205385e+31,0.8167649731696452
117,z_5/flares_17/gal_050,5,1.749177686608436e+32,1.7334036145745275
118,z_5/flares_17/gal_080,5,3.720420416179647e+31,1.3847623365188786
119,z_5/flares_17/gal_090,5,4.1664589104772475e+31,1.4955339446044797
120,z_5/flares_17/gal_052,5,6.212572556195178e+30,21.410421672543176
121,z_5/flares_17/gal_002,5,1.55652764344121e+31,18.508235504614646
122,z_5/flares_17/gal_046,5,7.518044367270907e+31,1.655299347634581
123,z_5/flares_17/gal_026,5,5.355447694980319e+31,8.368808298503104
124,z_5/flares_17/gal_019,5,1.937590756160563e+32,2.641353954447278
125,z_5/flares_17/gal_054,5,7.01476776606668e+31,1.3048314305820223
126,z_5/flares_17/gal_064,5,6.094664222567773e+31,1.9140186315043377
127,z_5/flares_17/gal_091,5,6.5302298042930545e+31,1.6546217509054966
128,z_5/flares_17/gal_111,5,2.1887944032867763e+31,1.8761434755591553
129,z_5/flares_17/gal_003,5,7.862655877351975e+31,2.1713489081190613
130,z_5/flares_17/gal_070,5,2.2746560072063714e+31,2.411246911127363
131,z_5/flares_17/gal_033,5,1.243267468713929e+31,10.595517045137456
132,z_5/flares_17/gal_040,5,3.369439185366953e+31,1.4140226986024376
133,z_5/flares_17/gal_118,5,5.361939983300928e+30,17.64290709099938
134,z_5/flares_17/gal_031,5,1.0956059407990942e+32,3.4434086459001847
135,z_5/flares_17/gal_109,5,1.1111335312174134e+31,4.4055010395686205
136,z_5/flares_17/gal_051,5,3.111135427430816e+32,2.39970713092847
137,z_5/flares_17/gal_120,5,3.0562941268313624e+31,1.6651867107892673
138,z_5/flares_17/gal_021,5,2.350069260168131e+31,4.726470374798392
139,z_5/flares_17/gal_102,5,1.3022121753159439e+32,1.4660541186983809
140,z_5/flares_17/gal_007,5,2.856064022946749e+32,1.4814571787798672
141,z_5/flares_17/gal_112,5,7.405146441479541e+30,15.415455002449391
142,z_5/flares_17/gal_030,5,6.493456311581096e+31,0.9245999320390752
143,z_5/flares_17/gal_010,5,5.471833104419859e+30,12.355995273476951
144,z_5/flares_17/gal_062,5,1.5301663382422343e+31,23.26656919809768
145,z_5/flares_17/gal_066,5,5.017564801439657e+31,2.518618097962583
146,z_5/flares_17/gal_121,5,8.869686850959721e+31,1.1395331235853645
147,z_5/flares_17/gal_085,5,4.370667900193491e+31,1.5305853395507123
148,z_5/flares_17/gal_012,5,1.0455397346320638e+32,0.9294672936275186
149,z_5/flares_17/gal_074,5,1.6994281873192925e+32,3.0994372210681584
150,z_5/flares_17/gal_059,5,2.861549884487452e+31,2.147043899091677
